transformation 
read_csv
read_excel
to_csv
describe
info
pivot_table
transpose
get_dummies
split_list_to_columns
merge
append
insert
sort_values
drop
filter
remove_indexes
rename
astype
dropna
extract_number_from_string
round
contains
find
replace
mean
sum
var
std
bin_column
fill_empty
uppercase
lowercase
to_datetime
year
month
day
dayofweek
day_name
divide
multiply
pow
add
subtract
replace_based_on_condition
rename_categories
factorize
strip
lstrip
rstrip
